"","Codi","Literal","Atur.Sexe. Homes","Atur.Sexe. Dones","Atur.Sexe. Total","Formacio.Educació primària o inferior","Formacio.Primera etapa d’educació secundària i similar","Formacio.Segona etapa d’educació secundària i similar","Formacio.Educació superior","IPROSOC.Mitjana de les pensions contributives de la població de 65 anys i més","IPROSOC.Prestacions no contributives (4)","IPROSOC.Prestacions de desocupació (3)","IPROSOC.Renda garantida de ciutadania (2)","IPROSOC.Prestacions d'ajut al lloguer (1)","IPROSOC.Ajuda alimentària (4)","IPROSOC.Ajuda alimentària als infants de 0-8 anys (5)","IPROSOC.Expedients informatius i de risc d'infants iniciats durant l'any (per 10.000 h.)","IRM.Desigualtat de renda segons fonts tributàries (1)","IRM.Percentatge de rendes inferiors al 60% de la mediana (2)","IRM.Bretxa de les rendes inferiors al 60% de la mediana (2) (3)","ISE.Població ocupada","ISE.Treballadors de baixa qualificació","ISE.Població amb estudis baixos","ISE.Població jove sense estudis postobligatoris","ISE.Estrangers de països de renda baixa o mitjana","ISE.Renda mitjana per persona","Índex socioeconòmic territorial","PIB milions d'euros","PIB  per habitant. Milers d'euros","PIB  per habitant. Índex Catalunya = 100","Poblacio.Homes","Poblacio.Dones","Poblacio.Total"
"1","01","Alt Camp",1391.4,1703.1,3094.5,17.9,35.3,21,25.8,1084.8,1,50.1,1.2,2.1,4.3,"..",109.2,47.5,33.3,38.1,"4","6","6","7","5","5",95,1517.2,34,104.3,22947,22251,45198
"2","02","Alt Empordà",3885.6,4772.2,8657.8,23.3,32.8,23.1,20.8,1022.4,1.1,49.4,1.5,1.6,3.6,"..",38.7,50.4,36.3,39.2,"2","7","10","10","9","2",84.2,3555,25.6,78.7,70308,70121,140429
"3","03","Alt Penedès",2631.8,3527.8,6159.6,18.3,30.2,23.3,28.2,1178.4,0.8,52.9,1.1,2.7,2,"..",46.8,47.9,31.1,36.5,"7","3","4","5","3","6",100,3237,29.7,91.1,55195,55307,110502
"4","04","Alt Urgell",443.2,521.7,964.9,18.6,29.2,25.1,27.1,972.7,1.5,44.5,0.5,3.1,2.3,"..",53,54.4,40.9,37,"1","7","6","3","1","1",93.1,489.9,24.4,74.9,10135,10105,20240
"5","05","Alta Ribagorça",69.1,68.8,137.9,18.2,26,24.1,31.7,1087.7,0.8,63.4,0.3,1.7,3.3,"..",131.4,47.6,37.8,41.9,"4","1","5","2","6","9",100.1,102.6,26.7,82.1,2051,1921,3972
"6","06","Anoia",3562,4931.2,8493.2,17.7,33.9,23.1,25.3,1154.7,1,47.4,1.2,2.1,2.5,"..",39.5,46,30.5,38.4,"5","4","4","7","1","5",98.6,2799.6,23,70.5,62637,61762,124399
"7","07","Bages",5052.3,6135,11187.3,18.5,32.7,21.7,27.1,1189.6,0.8,45.3,2.4,2.7,2.2,"..",33.4,45.5,29.5,38.6,"6","6","6","8","4","7",97,5066.2,28.5,87.4,89051,90719,179770
"8","08","Baix Camp",6128.9,7933.4,14062.3,18.3,31.5,22.9,27.3,1148,1.4,47.9,1,2.7,3.2,"..",106.8,51.2,35.5,38,"3","4","5","7","7","4",94.5,4411.3,22.8,69.9,96942,99776,196718
"9","09","Baix Ebre",2298.2,2676.3,4974.5,23.1,32.9,21.9,22.1,1000.6,1.9,46.6,0.9,2.7,7.1,"..",102.1,51.3,40.6,38.9,"2","8","10","9","8","1",86.4,1822.9,23.5,72.2,39800,39153,78953
"10","10","Baix Empordà",3395.6,4018.3,7413.9,19.7,33,21.6,25.7,1026.7,1.1,53.5,1.1,2.2,3.2,"..",62.4,50.6,36.4,39,"2","6","7","9","8","4",89.7,3159.1,23.8,72.9,67778,67777,135555
"11","11","Baix Llobregat",20278.7,26291.9,46570.6,17.3,27.6,24.1,31,1250.8,1,52.2,0.5,1.5,2.2,"..",44.7,46.8,29.1,37.5,"8","3","3","2","2","10",103.9,28006.4,34,104.4,406112,422620,828732
"12","12","Baix Penedès",3783.1,5076.1,8859.2,18.4,33.5,23.8,24.3,1138.7,1.3,44.8,1.5,3.2,3.9,"..",87.2,47.9,35.7,39.1,"1","6","5","10","5","2",90.5,2040.9,19.3,59.2,55426,54660,110086
"13","13","Barcelonès",60974.3,71156.1,132130.4,17.1,21.6,23.2,38.1,1304.2,1.3,49.8,0.7,1.1,1.9,"..",77.1,50.9,30.2,37.5,"4","1","2","1","7","10",103.3,92355.8,40.5,124.4,1087569,1195604,2283173
"14","14","Berguedà",906.9,1181.8,2088.8,18.9,33.1,20.1,27.8,1159.3,0.7,50.6,1.2,1.8,2.4,"..",51.7,45.2,31.5,39.5,"4","4","4","2","2","7",99.9,1024.1,25.9,79.5,19988,20021,40009
"15","15","Cerdanya",270.7,343.4,614.2,16.3,28.4,25.5,29.8,971.9,0.7,60,0.4,2.3,3.7,"..",80.6,49,38.1,41.5,"7","3","3","6","4","7",99.7,466.7,25.6,78.6,9772,9335,19107
"16","16","Conca de Barberà",454.9,499.4,954.3,18.8,33.3,22.1,25.8,1019.6,1.1,55.5,0.4,1.8,1.3,"..",144.8,46.9,34.9,38.7,"8","3","7","3","5","6",99,668.3,33.7,103.4,10258,9732,19990
"17","17","Garraf",4263,5579.3,9842.3,15.4,25.7,24.7,34.2,1240.5,1,49.3,0.8,2.2,2.1,"..",45.7,49.4,32.8,37.9,"3","1","1","4","2","9",101.5,3028.1,20.3,62.4,75008,77184,152192
"18","18","Garrigues",395.1,393.3,788.4,22.5,34.2,20,23.3,897.3,1.6,50.4,1,1,2.6,"..",135.3,49.3,41.5,41.3,"7","10","9","4","7","2",90.9,440.2,23.3,71.4,9981,9104,19085
"19","19","Garrotxa",1193.6,1381.2,2574.7,22.4,29.3,21.1,27.2,1108.3,0.6,58.4,0.5,2.2,3,"..",16.2,45.8,27.8,38.4,"9","7","8","5","7","7",96.5,1731.2,30.4,93.3,29057,29043,58100
"20","20","Gironès",5343.7,5937.3,11281.1,18.2,27.2,23.8,30.9,1250.2,0.9,47,1.7,2.1,5.8,"..",33.2,49.7,31.2,36.5,"6","5","3","6","10","6",95.4,6338.3,33.4,102.4,94274,97524,191798
"21","21","Maresme",12568.8,16036.3,28605.1,16.9,27.9,23.4,31.8,1169,1,48.5,1,2.4,2.2,"..",50.5,50.3,32.1,38.3,"5","2","2","3","3","9",101.9,10143.5,22.5,69.2,224412,231092,455504
"22","22","Montsià",1875.1,2459.2,4334.3,21.1,36.1,21,21.8,956.3,1.9,45,1,2.6,1.7,"..",116.1,49.4,41.8,40.8,"1","10","9","8","8","1",84.6,1313.8,19.1,58.7,35024,34470,69494
"23","23","Noguera",895.3,1163,2058.2,21,36.1,20.1,22.9,937,1.5,45,1.8,2.1,2.6,"..",70.5,47.8,37.5,40.7,"5","9","8","9","9","3",89.4,976.9,25.4,78.1,20034,18615,38649
"24","24","Osona",3841.6,4939.1,8780.7,18.7,31.4,22.6,27.3,1147.2,0.7,51.4,1.1,2.6,2.9,"..",21.8,46,28.3,37.7,"9","9","5","6","7","8",97,4958.5,30.9,95,81424,81075,162499
"25","25","Pallars Jussà",327.1,349.1,676.2,22.5,24.3,23.1,30.1,1064.6,1.1,54,0.5,2.9,1.9,"..",76.3,48.3,39.9,41.7,"4","8","8","1","6","6",96,286.4,22.1,67.7,6601,6393,12994
"26","26","Pallars Sobirà",159.6,158.6,318.2,15.3,22.4,26.8,35.5,997.4,0.8,64.9,0.2,4.8,2.3,"..",66.9,49.5,41.8,40.5,"8","2","1","1","3","8",107,188.6,27.3,83.9,3659,3440,7099
"27","27","Pla d'Urgell",757.7,952.7,1710.3,21.9,34.3,20.4,23.5,963.8,1.6,49.9,1.2,1.8,4.9,"..",54.5,49.9,36.8,39.3,"5","10","9","9","10","3",86.5,1110.7,29.9,91.8,19207,18325,37532
"28","28","Pla de l'Estany",630,686.5,1316.5,18.6,30.3,20.5,30.6,1111.4,0.6,56.8,0.4,1.8,2.4,"..",19.4,47.6,28.7,37.6,"10","5","4","7","6","7",98.9,899.1,27.9,85.6,16213,16460,32673
"29","29","Priorat",203.7,237.9,441.6,16.9,34.9,20.7,27.5,913.5,1.3,50.6,0.5,2.1,3.4,"..",84.9,48.6,40.8,41.5,"6","10","3","4","4","3",95.4,170,18.6,57,4843,4380,9223
"30","30","Ribera d'Ebre",547.4,621.9,1169.3,22.6,33.5,19,25,1103.8,1.6,44.5,0.9,1.7,2.9,"..",45.8,50.5,36.8,39.4,"3","4","9","5","5","5",93.2,1272,58.8,180.5,10935,10706,21641
"31","31","Ripollès",511.5,567.1,1078.6,20.6,32,20.9,26.5,1149.7,0.5,53.9,0.9,1.8,1.2,"..",33.7,43.3,26.7,39.1,"10","8","7","5","2","10",99.5,638.6,25.6,78.4,12709,12643,25352
"32","32","Segarra",377.6,484.8,862.4,25,33.4,20.2,21.5,996.9,1,50,0.5,2,3.3,"..",65,44.4,31.3,39.9,"9","9","10","10","10","4",84.7,805.6,35.5,108.8,11999,11029,23028
"33","33","Segrià",5778.3,7109.6,12887.8,19,31.8,21.1,28.2,1101,1.4,45.1,1.8,2.1,6.1,"..",59.7,50.7,35.5,38.4,"3","5","6","8","9","4",92,6229.6,30,92.2,104953,103557,208510
"34","34","Selva",5071.8,6382.3,11454.1,19.6,34.9,23.6,21.9,1090.2,1,50.9,1.1,2.3,3.7,"..",50.7,46.5,35.5,41.1,"2","7","8","10","8","3",87.7,4720.1,27.8,85.3,87078,85338,172416
