Producte interior brut.
Comarques i Aran. 2019
Font: Idescat.
Notes:
- Anys 2018-2019. Dades provisionals
"- Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pibc&n=13830&by=com
Codi,Literal,PIB milions d'euros,PIB  per habitant. Milers d'euros,PIB  per habitant. Índex Catalunya = 100
01,Alt Camp,1517.2,34.0,104.3,
02,Alt Empordà,3555.0,25.6,78.7,
03,Alt Penedès,3237.0,29.7,91.1,
04,Alt Urgell,489.9,24.4,74.9,
05,Alta Ribagorça,102.6,26.7,82.1,
06,Anoia,2799.6,23.0,70.5,
39,Aran,366.5,36.6,112.4,
07,Bages,5066.2,28.5,87.4,
08,Baix Camp,4411.3,22.8,69.9,
09,Baix Ebre,1822.9,23.5,72.2,
10,Baix Empordà,3159.1,23.8,72.9,
11,Baix Llobregat,28006.4,34.0,104.4,
12,Baix Penedès,2040.9,19.3,59.2,
13,Barcelonès,92355.8,40.5,124.4,
14,Berguedà,1024.1,25.9,79.5,
15,Cerdanya,466.7,25.6,78.6,
16,Conca de Barberà,668.3,33.7,103.4,
17,Garraf,3028.1,20.3,62.4,
18,Garrigues,440.2,23.3,71.4,
19,Garrotxa,1731.2,30.4,93.3,
20,Gironès,6338.3,33.4,102.4,
21,Maresme,10143.5,22.5,69.2,
42,Moianès,314.4,23.0,70.7,
22,Montsià,1313.8,19.1,58.7,
23,Noguera,976.9,25.4,78.1,
24,Osona,4958.5,30.9,95.0,
25,Pallars Jussà,286.4,22.1,67.7,
26,Pallars Sobirà,188.6,27.3,83.9,
27,Pla d'Urgell,1110.7,29.9,91.8,
28,Pla de l'Estany,899.1,27.9,85.6,
29,Priorat,170.0,18.6,57.0,
30,Ribera d'Ebre,1272.0,58.8,180.5,
31,Ripollès,638.6,25.6,78.4,
32,Segarra,805.6,35.5,108.8,
33,Segrià,6229.6,30.0,92.2,
34,Selva,4720.1,27.8,85.3,
35,Solsonès,367.4,26.8,82.4,
36,Tarragonès,8816.5,33.9,104.1,
37,Terra Alta,275.6,24.4,74.8,
38,Urgell,1047.3,28.5,87.6,
40,Vallès Occidental,29609.2,31.8,97.7,
41,Vallès Oriental,13129.3,31.9,98.0,
,Catalunya,249900.5,32.6,100.0,

