Índex socioeconòmic territorial (IST). Índex Catalunya=100
Comarques i Aran. 2018 (p)
Unitats: Índex Catalunya=100.
Font: Idescat. Índex socioeconòmic territorial
"Nota: Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
(p) Dada provisional.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14034&by=com
Codi,Literal,Índex socioeconòmic territorial
01,Alt Camp,95.0,
02,Alt Empordà,84.2,
03,Alt Penedès,100.0,
04,Alt Urgell,93.1,
05,Alta Ribagorça,100.1,
06,Anoia,98.6,
39,Aran,107.4,
07,Bages,97.0,
08,Baix Camp,94.5,
09,Baix Ebre,86.4,
10,Baix Empordà,89.7,
11,Baix Llobregat,103.9,
12,Baix Penedès,90.5,
13,Barcelonès,103.3,
14,Berguedà,99.9,
15,Cerdanya,99.7,
16,Conca de Barberà,99.0,
17,Garraf,101.5,
18,Garrigues,90.9,
19,Garrotxa,96.5,
20,Gironès,95.4,
21,Maresme,101.9,
42,Moianès,103.6,
22,Montsià,84.6,
23,Noguera,89.4,
24,Osona,97.0,
25,Pallars Jussà,96.0,
26,Pallars Sobirà,107.0,
27,Pla d'Urgell,86.5,
28,Pla de l'Estany,98.9,
29,Priorat,95.4,
30,Ribera d'Ebre,93.2,
31,Ripollès,99.5,
32,Segarra,84.7,
33,Segrià,92.0,
34,Selva,87.7,
35,Solsonès,98.1,
36,Tarragonès,93.6,
37,Terra Alta,90.3,
38,Urgell,91.0,
40,Vallès Occidental,103.0,
41,Vallès Oriental,101.5,
,Catalunya,100.0,

