Indicadors socioeconòmics estandarditzats. Per decils
Comarques i Aran. 2018 (p)
Font: Idescat. Índex socioeconòmic territorial
Notes:
- El primer decil correspon als territoris amb nivell més baix de l'indicador i el desè decil als territoris de nivell més alt.
"- Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
(p) Dada provisional.
(z) Dada no procedent.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14037&by=com
Codi,Literal,Població ocupada,Treballadors de baixa qualificació,Població amb estudis baixos,Població jove sense estudis postobligatoris,Estrangers de països de renda baixa o mitjana,Renda mitjana per persona
01,Alt Camp,4,6,6,7,5,5,
02,Alt Empordà,2,7,10,10,9,2,
03,Alt Penedès,7,3,4,5,3,6,
04,Alt Urgell,1,7,6,3,1,1,
05,Alta Ribagorça,4,1,5,2,6,9,
06,Anoia,5,4,4,7,1,5,
39,Aran,10,1,1,1,6,9,
07,Bages,6,6,6,8,4,7,
08,Baix Camp,3,4,5,7,7,4,
09,Baix Ebre,2,8,10,9,8,1,
10,Baix Empordà,2,6,7,9,8,4,
11,Baix Llobregat,8,3,3,2,2,10,
12,Baix Penedès,1,6,5,10,5,2,
13,Barcelonès,4,1,2,1,7,10,
14,Berguedà,4,4,4,2,2,7,
15,Cerdanya,7,3,3,6,4,7,
16,Conca de Barberà,8,3,7,3,5,6,
17,Garraf,3,1,1,4,2,9,
18,Garrigues,7,10,9,4,7,2,
19,Garrotxa,9,7,8,5,7,7,
20,Gironès,6,5,3,6,10,6,
21,Maresme,5,2,2,3,3,9,
42,Moianès,10,5,1,4,1,8,
22,Montsià,1,10,9,8,8,1,
23,Noguera,5,9,8,9,9,3,
24,Osona,9,9,5,6,7,8,
25,Pallars Jussà,4,8,8,1,6,6,
26,Pallars Sobirà,8,2,1,1,3,8,
27,Pla d'Urgell,5,10,9,9,10,3,
28,Pla de l'Estany,10,5,4,7,6,7,
29,Priorat,6,10,3,4,4,3,
30,Ribera d'Ebre,3,4,9,5,5,5,
31,Ripollès,10,8,7,5,2,10,
32,Segarra,9,9,10,10,10,4,
33,Segrià,3,5,6,8,9,4,
34,Selva,2,7,8,10,8,3,
35,Solsonès,9,7,7,2,4,4,
36,Tarragonès,1,2,4,8,9,5,
37,Terra Alta,6,8,10,7,4,1,
38,Urgell,7,9,7,6,10,2,
40,Vallès Occidental,7,2,2,3,3,10,
41,Vallès Oriental,8,4,2,4,1,8,
,Catalunya,z,z,z,z,z,z,

