Atur registrat. Per sexe. Mitjanes anuals
Comarques i Aran. 2020
Unitats: Persones.
"Font: Departament de Treball, Afers Socials i Famílies."
"Nota: Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=atureg&n=4299&by=com
Codi,Literal,Sexe. Homes,Sexe. Dones,Sexe. Total
01,Alt Camp,1391.4,1703.1,3094.5,
02,Alt Empordà,3885.6,4772.2,8657.8,
03,Alt Penedès,2631.8,3527.8,6159.6,
04,Alt Urgell,443.2,521.7,964.9,
05,Alta Ribagorça,69.1,68.8,137.9,
06,Anoia,3562.0,4931.2,8493.2,
39,Aran,234.4,202.7,437.1,
07,Bages,5052.3,6135.0,11187.3,
08,Baix Camp,6128.9,7933.4,14062.3,
09,Baix Ebre,2298.2,2676.3,4974.5,
10,Baix Empordà,3395.6,4018.3,7413.9,
11,Baix Llobregat,20278.7,26291.9,46570.6,
12,Baix Penedès,3783.1,5076.1,8859.2,
13,Barcelonès,60974.3,71156.1,132130.4,
14,Berguedà,906.9,1181.8,2088.8,
15,Cerdanya,270.7,343.4,614.2,
16,Conca de Barberà,454.9,499.4,954.3,
17,Garraf,4263.0,5579.3,9842.3,
18,Garrigues,395.1,393.3,788.4,
19,Garrotxa,1193.6,1381.2,2574.7,
20,Gironès,5343.7,5937.3,11281.1,
21,Maresme,12568.8,16036.3,28605.1,
42,Moianès,258.8,351.3,610.2,
22,Montsià,1875.1,2459.2,4334.3,
23,Noguera,895.3,1163.0,2058.2,
24,Osona,3841.6,4939.1,8780.7,
25,Pallars Jussà,327.1,349.1,676.2,
26,Pallars Sobirà,159.6,158.6,318.2,
27,Pla d'Urgell,757.7,952.7,1710.3,
28,Pla de l'Estany,630.0,686.5,1316.5,
29,Priorat,203.7,237.9,441.6,
30,Ribera d'Ebre,547.4,621.9,1169.3,
31,Ripollès,511.5,567.1,1078.6,
32,Segarra,377.6,484.8,862.4,
33,Segrià,5778.3,7109.6,12887.8,
34,Selva,5071.8,6382.3,11454.1,
35,Solsonès,251.7,299.6,551.3,
36,Tarragonès,7744.7,9999.6,17744.2,
37,Terra Alta,191.9,244.3,436.2,
38,Urgell,858.3,1153.8,2012.0,
40,Vallès Occidental,24978.0,32998.2,57976.2,
41,Vallès Oriental,10636.2,14472.6,25108.8,
,Catalunya,205421.3,255997.9,461419.2,

