Indicadors de renda monetària
Comarques i Aran. 2012
Unitats: Percentatge.
"Font: Idescat i Departament de Treball, Afers Socials i Famílies."
"Nota: Les dades es presenten segons la distribució territorial de 41 comarques (d'acord amb la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, i amb la Llei 5/1988, de creació de les comarques del Pla de l'Estany, del Pla d'Urgell i de l'Alta Ribagorça)."
(1) 0 = màxima igualtat; 100 = màxima desigualtat.
(2) Segons fonts tributàries.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=intpobr&n=8228&by=com
Codi,Literal,Desigualtat de renda segons fonts tributàries (1),Percentatge de rendes inferiors al 60% de la mediana (2),Bretxa de les rendes inferiors al 60% de la mediana (2) (3)
01,Alt Camp,47.5,33.3,38.1,
02,Alt Empordà,50.4,36.3,39.2,
03,Alt Penedès,47.9,31.1,36.5,
04,Alt Urgell,54.4,40.9,37.0,
05,Alta Ribagorça,47.6,37.8,41.9,
06,Anoia,46.0,30.5,38.4,
39,Aran,51.5,34.2,37.2,
07,Bages,45.5,29.5,38.6,
08,Baix Camp,51.2,35.5,38.0,
09,Baix Ebre,51.3,40.6,38.9,
10,Baix Empordà,50.6,36.4,39.0,
11,Baix Llobregat,46.8,29.1,37.5,
12,Baix Penedès,47.9,35.7,39.1,
13,Barcelonès,50.9,30.2,37.5,
14,Berguedà,45.2,31.5,39.5,
15,Cerdanya,49.0,38.1,41.5,
16,Conca de Barberà,46.9,34.9,38.7,
17,Garraf,49.4,32.8,37.9,
18,Garrigues,49.3,41.5,41.3,
19,Garrotxa,45.8,27.8,38.4,
20,Gironès,49.7,31.2,36.5,
21,Maresme,50.3,32.1,38.3,
22,Montsià,49.4,41.8,40.8,
23,Noguera,47.8,37.5,40.7,
24,Osona,46.0,28.3,37.7,
25,Pallars Jussà,48.3,39.9,41.7,
26,Pallars Sobirà,49.5,41.8,40.5,
27,Pla d'Urgell,49.9,36.8,39.3,
28,Pla de l'Estany,47.6,28.7,37.6,
29,Priorat,48.6,40.8,41.5,
30,Ribera d'Ebre,50.5,36.8,39.4,
31,Ripollès,43.3,26.7,39.1,
32,Segarra,44.4,31.3,39.9,
33,Segrià,50.7,35.5,38.4,
34,Selva,46.5,35.5,41.1,
35,Solsonès,49.7,36.3,38.6,
36,Tarragonès,48.4,33.1,38.7,
37,Terra Alta,49.1,44.5,42.5,
38,Urgell,49.6,36.5,39.4,
40,Vallès Occidental,48.6,29.6,37.2,
41,Vallès Oriental,46.7,29.8,37.6,
,Catalunya,49.2,31.2,37.9,

