Indicadors relatius al mercat de treball
Comarques i Aran. 2019
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
"Nota: Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
(1) Aturats registrats sobre la població de 16 a 64 anys.
(2) Aturats registrats fa un any o més sobre la població de 16 a 64 anys.
(3) Aturats registrats fa 2 anys o més sobre la població de 16 a 64 anys.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=intpobr&n=8230&by=com&t=201900
Codi,Literal,Població en situació d'atur (1),Població en situació d'atur de llarga durada (2),Població en situació d'atur de molt llarga durada (3)
01,Alt Camp,9.0,3.4,2.1,
02,Alt Empordà,7.8,2.8,1.7,
03,Alt Penedès,7.5,2.7,1.6,
04,Alt Urgell,6.0,2.0,1.3,
05,Alta Ribagorça,3.5,0.6,0.2,
06,Anoia,9.2,3.8,2.4,
39,Aran,3.8,0.5,0.2,
07,Bages,8.4,3.6,2.4,
08,Baix Camp,9.0,3.2,2.0,
09,Baix Ebre,8.5,3.2,2.0,
10,Baix Empordà,7.1,2.4,1.5,
11,Baix Llobregat,7.2,2.6,1.6,
12,Baix Penedès,10.8,4.2,2.7,
13,Barcelonès,7.1,2.6,1.6,
14,Berguedà,7.4,3.3,2.2,
15,Cerdanya,3.7,0.9,0.5,
16,Conca de Barberà,5.9,2.1,1.3,
17,Garraf,8.2,3.2,2.0,
18,Garrigues,6.0,2.3,1.3,
19,Garrotxa,5.6,2.0,1.2,
20,Gironès,7.0,2.5,1.6,
21,Maresme,8.2,3.3,2.2,
42,Moianès,5.6,1.9,1.2,
22,Montsià,8.3,3.1,2.0,
23,Noguera,7.3,2.9,1.8,
24,Osona,7.0,2.8,1.8,
25,Pallars Jussà,7.1,2.3,1.4,
26,Pallars Sobirà,4.7,0.8,0.4,
27,Pla d'Urgell,6.0,2.0,1.2,
28,Pla de l'Estany,5.1,1.7,1.1,
29,Priorat,6.7,2.8,1.9,
30,Ribera d'Ebre,7.8,2.7,1.6,
31,Ripollès,5.6,2.1,1.3,
32,Segarra,4.8,1.8,1.1,
33,Segrià,7.8,2.7,1.6,
34,Selva,7.6,2.8,1.8,
35,Solsonès,5.3,1.9,1.2,
36,Tarragonès,8.2,2.8,1.7,
37,Terra Alta,5.6,2.3,1.4,
38,Urgell,7.3,2.8,1.8,
40,Vallès Occidental,8.1,3.3,2.1,
41,Vallès Oriental,7.9,3.1,2.0,
,Catalunya,7.6,2.9,1.8,

