Indicadors demogràfics
Comarques i Aran. 2019
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total.
- (3) Indicador calculat sobre la població de 75 anys o més.
- Al 2017 ha canviat el sistema de recollida de dades dels alumnes escolaritzats als 17 anys i per tant l’indicador Taxa d’escolarització als 17 anys no és comparable amb els anys anteriors.
"- Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=intpobr&n=8233&by=com
Codi,Literal,Taxa d'escolarització als 17 anys,Famílies monoparentals (1),Famílies amb tres fills o més (1),Població provinent de països en vies de desenvolupament (2),Població de 75 anys o més que viu sola (3)
01,Alt Camp,81.7,1.7,5.1,10.5,26.0,
02,Alt Empordà,72.4,1.9,5.3,18.7,29.0,
03,Alt Penedès,77.5,2.2,5.7,11.7,25.3,
04,Alt Urgell,86.2,1.6,3.3,10.7,27.1,
05,Alta Ribagorça,96.4,1.4,2.7,8.7,30.2,
06,Anoia,79.0,2.3,6.0,9.9,26.0,
39,Aran,79.3,1.1,2.6,12.4,25.2,
07,Bages,81.0,2.0,5.0,12.0,25.6,
08,Baix Camp,82.4,2.4,6.2,12.8,27.3,
09,Baix Ebre,79.9,2.3,5.1,11.6,24.5,
10,Baix Empordà,73.2,1.8,4.9,15.9,25.8,
11,Baix Llobregat,80.4,2.5,4.8,12.2,22.3,
12,Baix Penedès,72.6,2.4,5.2,14.1,23.7,
13,Barcelonès,79.6,2.4,3.8,21.6,29.2,
14,Berguedà,79.6,1.2,3.3,9.6,26.5,
15,Cerdanya,77.9,1.7,3.4,14.3,26.9,
16,Conca de Barberà,91.4,1.5,4.3,7.4,27.4,
17,Garraf,74.6,2.5,4.4,11.8,26.3,
18,Garrigues,83.9,1.3,3.6,7.1,27.6,
19,Garrotxa,69.2,1.8,4.3,15.7,29.4,
20,Gironès,72.1,2.5,7.1,19.5,26.4,
21,Maresme,78.6,2.2,5.0,12.3,23.3,
42,Moianès,81.4,1.8,4.7,9.6,22.2,
22,Montsià,75.6,2.8,4.5,9.5,23.0,
23,Noguera,79.2,1.9,5.0,11.7,26.6,
24,Osona,82.2,1.7,5.4,15.7,29.2,
25,Pallars Jussà,94.0,2.1,3.7,11.6,31.8,
26,Pallars Sobirà,88.4,1.5,2.7,5.9,29.4,
27,Pla d'Urgell,79.4,1.4,5.2,12.4,24.2,
28,Pla de l'Estany,78.7,1.8,6.1,13.0,22.5,
29,Priorat,95.8,1.6,4.5,6.9,28.8,
30,Ribera d'Ebre,89.1,1.7,4.2,8.7,27.1,
31,Ripollès,76.3,1.1,3.2,9.9,29.8,
32,Segarra,84.3,2.0,6.5,13.4,24.6,
33,Segrià,81.3,2.0,5.1,14.5,27.5,
34,Selva,70.7,1.8,4.4,14.4,25.2,
35,Solsonès,90.9,1.9,5.5,9.3,24.2,
36,Tarragonès,76.8,2.3,5.6,16.2,27.1,
37,Terra Alta,88.8,1.6,3.5,3.9,19.8,
38,Urgell,87.6,1.9,5.7,12.6,27.4,
40,Vallès Occidental,82.3,2.3,5.7,12.6,24.0,
41,Vallès Oriental,81.2,2.4,5.1,11.5,22.5,
,Catalunya,79.4,2.2,4.8,15.6,26.4,

