Indicadors relatius a la protecció social. 1/2
Comarques i Aran. 2019
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total. A partir del 2018 la Renda garantida de ciutadania substitueix a la Renda mínima d’inserció.
- (3) Indicador calculat sobre el total d'aturats registrats.
- (4) Indicador calculat sobre la població total.
"- Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=intpobr&n=8235&by=com
Codi,Literal,Mitjana de les pensions contributives de la població de 65 anys i més,Prestacions no contributives (4),Prestacions de desocupació (3),Renda garantida de ciutadania (2),Prestacions d'ajut al lloguer (1)
01,Alt Camp,1084.8,1.0,50.1,1.2,2.1,
02,Alt Empordà,1022.4,1.1,49.4,1.5,1.6,
03,Alt Penedès,1178.4,0.8,52.9,1.1,2.7,
04,Alt Urgell,972.7,1.5,44.5,0.5,3.1,
05,Alta Ribagorça,1087.7,0.8,63.4,0.3,1.7,
06,Anoia,1154.7,1.0,47.4,1.2,2.1,
39,Aran,1134.5,0.5,60.4,0.1,1.0,
07,Bages,1189.6,0.8,45.3,2.4,2.7,
08,Baix Camp,1148.0,1.4,47.9,1.0,2.7,
09,Baix Ebre,1000.6,1.9,46.6,0.9,2.7,
10,Baix Empordà,1026.7,1.1,53.5,1.1,2.2,
11,Baix Llobregat,1250.8,1.0,52.2,0.5,1.5,
12,Baix Penedès,1138.7,1.3,44.8,1.5,3.2,
13,Barcelonès,1304.2,1.3,49.8,0.7,1.1,
14,Berguedà,1159.3,0.7,50.6,1.2,1.8,
15,Cerdanya,971.9,0.7,60.0,0.4,2.3,
16,Conca de Barberà,1019.6,1.1,55.5,0.4,1.8,
17,Garraf,1240.5,1.0,49.3,0.8,2.2,
18,Garrigues,897.3,1.6,50.4,1.0,1.0,
19,Garrotxa,1108.3,0.6,58.4,0.5,2.2,
20,Gironès,1250.2,0.9,47.0,1.7,2.1,
21,Maresme,1169.0,1.0,48.5,1.0,2.4,
42,Moianès,1061.9,0.6,52.5,0.7,1.7,
22,Montsià,956.3,1.9,45.0,1.0,2.6,
23,Noguera,937.0,1.5,45.0,1.8,2.1,
24,Osona,1147.2,0.7,51.4,1.1,2.6,
25,Pallars Jussà,1064.6,1.1,54.0,0.5,2.9,
26,Pallars Sobirà,997.4,0.8,64.9,0.2,4.8,
27,Pla d'Urgell,963.8,1.6,49.9,1.2,1.8,
28,Pla de l'Estany,1111.4,0.6,56.8,0.4,1.8,
29,Priorat,913.5,1.3,50.6,0.5,2.1,
30,Ribera d'Ebre,1103.8,1.6,44.5,0.9,1.7,
31,Ripollès,1149.7,0.5,53.9,0.9,1.8,
32,Segarra,996.9,1.0,50.0,0.5,2.0,
33,Segrià,1101.0,1.4,45.1,1.8,2.1,
34,Selva,1090.2,1.0,50.9,1.1,2.3,
35,Solsonès,991.7,1.4,50.8,1.1,4.5,
36,Tarragonès,1269.9,1.2,47.9,0.9,2.5,
37,Terra Alta,861.2,2.4,54.3,0.5,1.0,
38,Urgell,1013.5,1.3,44.8,1.0,2.2,
40,Vallès Occidental,1213.7,0.9,48.8,1.2,1.4,
41,Vallès Oriental,1219.2,0.8,51.9,0.9,1.6,
,Catalunya,1213.1,1.1,49.5,1.0,1.7,

