Indicadors relatius a la protecció social. 2/2
Comarques i Aran. 2019
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
"Nota: Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
(4) Indicador calculat sobre la població total.
(5) Indicador calculat sobre la població de 0 a 8 anys.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=intpobr&n=8236&by=com
Codi,Literal,Ajuda alimentària (4),Ajuda alimentària als infants de 0-8 anys (5),Expedients informatius i de risc d'infants iniciats durant l'any (per 10.000 h.)
01,Alt Camp,4.3,..,109.2,
02,Alt Empordà,3.6,..,38.7,
03,Alt Penedès,2.0,..,46.8,
04,Alt Urgell,2.3,..,53.0,
05,Alta Ribagorça,3.3,..,131.4,
06,Anoia,2.5,..,39.5,
39,Aran,2.6,..,71.8,
07,Bages,2.2,..,33.4,
08,Baix Camp,3.2,..,106.8,
09,Baix Ebre,7.1,..,102.1,
10,Baix Empordà,3.2,..,62.4,
11,Baix Llobregat,2.2,..,44.7,
12,Baix Penedès,3.9,..,87.2,
13,Barcelonès,1.9,..,77.1,
14,Berguedà,2.4,..,51.7,
15,Cerdanya,3.7,..,80.6,
16,Conca de Barberà,1.3,..,144.8,
17,Garraf,2.1,..,45.7,
18,Garrigues,2.6,..,135.3,
19,Garrotxa,3.0,..,16.2,
20,Gironès,5.8,..,33.2,
21,Maresme,2.2,..,50.5,
42,Moianès,1.6,..,19.9,
22,Montsià,1.7,..,116.1,
23,Noguera,2.6,..,70.5,
24,Osona,2.9,..,21.8,
25,Pallars Jussà,1.9,..,76.3,
26,Pallars Sobirà,2.3,..,66.9,
27,Pla d'Urgell,4.9,..,54.5,
28,Pla de l'Estany,2.4,..,19.4,
29,Priorat,3.4,..,84.9,
30,Ribera d'Ebre,2.9,..,45.8,
31,Ripollès,1.2,..,33.7,
32,Segarra,3.3,..,65.0,
33,Segrià,6.1,..,59.7,
34,Selva,3.7,..,50.7,
35,Solsonès,1.0,..,61.3,
36,Tarragonès,3.6,..,120.6,
37,Terra Alta,1.7,..,36.3,
38,Urgell,2.3,..,38.5,
40,Vallès Occidental,2.4,..,42.4,
41,Vallès Oriental,2.5,..,28.5,
,Catalunya,2.6,..,58.8,

