Població per sexe
Comarques i Aran. 1 de gener de 2021
Font: Idescat. Estimacions de població.
Notes:
"- Les xifres de població a 1 de juliol de 2020 i 1 de gener de 2021 són dades provisionals, estan vigents fins que siguin substituïdes per les estimacions postcensals definitives i estan disponibles només per a Catalunya, les províncies i els àmbits del pla territorial."
"- Les dades es presenten segons la distribució territorial actualment vigent, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9122&by=com
Codi,Literal,Homes,Dones,Total
01,Alt Camp,22947,22251,45198,
02,Alt Empordà,70308,70121,140429,
03,Alt Penedès,55195,55307,110502,
04,Alt Urgell,10135,10105,20240,
05,Alta Ribagorça,2051,1921,3972,
06,Anoia,62637,61762,124399,
39,Aran,5340,4925,10265,
07,Bages,89051,90719,179770,
08,Baix Camp,96942,99776,196718,
09,Baix Ebre,39800,39153,78953,
10,Baix Empordà,67778,67777,135555,
11,Baix Llobregat,406112,422620,828732,
12,Baix Penedès,55426,54660,110086,
13,Barcelonès,1087569,1195604,2283173,
14,Berguedà,19988,20021,40009,
15,Cerdanya,9772,9335,19107,
16,Conca de Barberà,10258,9732,19990,
17,Garraf,75008,77184,152192,
18,Garrigues,9981,9104,19085,
19,Garrotxa,29057,29043,58100,
20,Gironès,94274,97524,191798,
21,Maresme,224412,231092,455504,
42,Moianès,7260,6850,14110,
22,Montsià,35024,34470,69494,
23,Noguera,20034,18615,38649,
24,Osona,81424,81075,162499,
25,Pallars Jussà,6601,6393,12994,
26,Pallars Sobirà,3659,3440,7099,
27,Pla d'Urgell,19207,18325,37532,
28,Pla de l'Estany,16213,16460,32673,
29,Priorat,4843,4380,9223,
30,Ribera d'Ebre,10935,10706,21641,
31,Ripollès,12709,12643,25352,
32,Segarra,11999,11029,23028,
33,Segrià,104953,103557,208510,
34,Selva,87078,85338,172416,
35,Solsonès,7047,6850,13897,
36,Tarragonès,130987,133333,264320,
37,Terra Alta,5778,5524,11302,
38,Urgell,18909,18326,37235,
40,Vallès Occidental,460957,477559,938516,
41,Vallès Oriental,207457,208034,415491,
,Catalunya,3797115,3942643,7739758,

